Image ID, Detector, Descriptor, Total Keypoints, Vehicle Keypoints, Detector Runtime, Descriptor Runtime, Matched Keypoints, Matcher Runtime
6, BRISK, SIFT,2715,289,40.681548,68.842057,195,3.946424
7, BRISK, SIFT,2628,272,40.347865,70.074347,194,3.881938
8, BRISK, SIFT,2639,266,40.779357,67.938128,176,3.059792
9, BRISK, SIFT,2672,254,40.425513,63.847012,183,5.635135
,,,,,,,,
0, ORB, BRISK,500,92,9.463682,1.161585,0,0
1, ORB, BRISK,500,102,9.610908,1.557558,73,0.290984
2, ORB, BRISK,500,106,9.203102,1.300153,74,0.335758
3, ORB, BRISK,500,113,8.785813,1.542806,79,0.317356
4, ORB, BRISK,500,109,8.869732,1.375334,85,0.55966
5, ORB, BRISK,500,125,8.737276,1.513682,79,0.373183
6, ORB, BRISK,500,130,8.802346,1.659659,92,0.439964
7, ORB, BRISK,500,129,9.062776,1.556683,90,0.433359
8, ORB, BRISK,500,127,8.9859,1.52249,88,0.423817
9, ORB, BRISK,500,128,8.945148,1.535363,91,0.42497
,,,,,,,,
0, ORB, BRIEF,500,92,8.839968,0.610401,0,0
1, ORB, BRIEF,500,102,11.427982,0.909537,49,0.326211
2, ORB, BRIEF,500,106,7.938715,0.618026,43,0.300205
3, ORB, BRIEF,500,113,7.876999,0.620749,45,0.332135
4, ORB, BRIEF,500,109,7.955451,1.009711,59,0.551927
5, ORB, BRIEF,500,125,7.693427,0.68738,53,0.363651
6, ORB, BRIEF,500,130,9.35732,1.454389,78,0.786822
7, ORB, BRIEF,500,129,7.866049,0.635263,68,0.427581
8, ORB, BRIEF,500,127,8.465828,0.642424,84,0.431319
9, ORB, BRIEF,500,128,8.183589,0.80515,66,0.423039
,,,,,,,,
0, ORB, ORB,500,92,7.798107,5.524612,0,0
1, ORB, ORB,500,102,10.154524,6.38678,67,0.311692
2, ORB, ORB,500,106,7.566309,9.742265,70,0.343812
3, ORB, ORB,500,113,7.726613,5.079975,72,0.356143
4, ORB, ORB,500,109,7.679388,5.55317,84,0.365628
5, ORB, ORB,500,125,10.764582,5.776578,91,0.395669
6, ORB, ORB,500,130,7.792922,6.332813,101,0.460439
7, ORB, ORB,500,129,7.745288,5.085443,92,0.497442
8, ORB, ORB,500,127,7.857577,5.380226,93,0.632404
9, ORB, ORB,500,128,9.387422,6.905567,93,0.460679
,,,,,,,,
0, ORB, FREAK,500,92,7.805975,42.178544,0,0
1, ORB, FREAK,500,102,13.411089,40.672583,42,0.147723
2, ORB, FREAK,500,106,8.425091,41.834035,36,0.170704
3, ORB, FREAK,500,113,8.375257,40.06888,44,0.189136
4, ORB, FREAK,500,109,8.045624,39.918914,47,0.186935
5, ORB, FREAK,500,125,7.972753,42.754419,44,0.191749
6, ORB, FREAK,500,130,9.039863,40.850341,51,0.228998
7, ORB, FREAK,500,129,10.82357,41.168773,52,0.221488
8, ORB, FREAK,500,127,9.534535,42.058807,48,0.238787
9, ORB, FREAK,500,128,8.99674,42.040979,56,0.224287
,,,,,,,,
,,,,,,,,
0, ORB, SIFT,500,92,8.434714,68.897499,0,0
1, ORB, SIFT,500,102,8.743826,70.227787,67,0.525906
2, ORB, SIFT,500,106,8.759709,74.856846,79,0.586954
3, ORB, SIFT,500,113,9.001594,77.413466,78,0.627498
4, ORB, SIFT,500,109,9.121134,71.367723,79,0.636077
5, ORB, SIFT,500,125,8.729546,75.523322,82,0.734204
6, ORB, SIFT,500,130,8.997236,80.068039,95,0.798328
7, ORB, SIFT,500,129,10.8652,85.544536,95,0.772884
8, ORB, SIFT,500,127,8.858811,90.331023,94,1.052947
9, ORB, SIFT,500,128,9.351413,83.602055,94,0.796659
,,,,,,,,
0, AKAZE, BRISK,1351,166,110.470135,2.137187,0,0
1, AKAZE, BRISK,1327,157,107.372485,1.909246,137,0.713912
2, AKAZE, BRISK,1311,161,107.165357,1.859911,125,0.6671
3, AKAZE, BRISK,1351,155,114.882036,1.79396,129,0.653466
4, AKAZE, BRISK,1360,163,107.318921,1.880855,129,0.692399
5, AKAZE, BRISK,1347,164,105.766833,2.890437,131,0.709816
6, AKAZE, BRISK,1363,173,114.859685,2.992935,132,0.788764
7, AKAZE, BRISK,1331,175,114.878275,1.976623,142,0.776181
8, AKAZE, BRISK,1357,177,115.344859,2.990767,146,0.83556
9, AKAZE, BRISK,1331,179,113.378613,2.887199,144,0.835462
,,,,,,,,
0, AKAZE, BRIEF,1351,166,110.850878,0.8669,0,0
1, AKAZE, BRIEF,1327,157,111.570451,0.841149,141,0.717977
2, AKAZE, BRIEF,1311,161,110.757019,0.837566,134,0.645851
3, AKAZE, BRIEF,1351,155,116.902201,0.875525,131,0.612134
4, AKAZE, BRIEF,1360,163,107.590254,0.854432,130,0.616529
5, AKAZE, BRIEF,1347,164,107.98829,1.751143,134,0.64822
6, AKAZE, BRIEF,1363,173,117.886605,1.751664,146,0.687074
7, AKAZE, BRIEF,1331,175,110.747745,1.797672,150,0.721993
8, AKAZE, BRIEF,1357,177,113.986659,0.901834,148,0.733676
9, AKAZE, BRIEF,1331,179,117.211114,1.821102,152,0.748764
,,,,,,,,
0, AKAZE, ORB,1351,166,112.16182,3.287854,0,0
1, AKAZE, ORB,1327,157,106.386119,3.256054,131,0.685802
2, AKAZE, ORB,1311,161,108.994434,3.260032,129,0.666817
3, AKAZE, ORB,1351,155,113.958531,3.29465,127,0.659853
4, AKAZE, ORB,1360,163,114.235243,4.224458,117,0.691341
5, AKAZE, ORB,1347,164,112.620108,3.273797,130,0.714122
6, AKAZE, ORB,1363,173,114.524968,3.943887,131,0.738054
7, AKAZE, ORB,1331,175,115.883123,4.065624,137,1.066208
8, AKAZE, ORB,1357,177,115.906504,3.993887,135,0.814733
9, AKAZE, ORB,1331,179,117.548465,4.608733,145,0.808199
,,,,,,,,
0, AKAZE, FREAK,1351,166,113.070135,44.145812,0,0
1, AKAZE, FREAK,1327,157,108.12536,44.097543,126,0.687653
2, AKAZE, FREAK,1311,161,107.788001,44.19257,129,0.677984
3, AKAZE, FREAK,1351,155,106.882619,44.007029,127,0.673181
